




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4862)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
NADH dehydrogenase complex assembly (GO:0010257)	66	36	15.58	+	2.31	1.16E-04	3.26E-03
DNA replication-independent nucleosome organization (GO:0034724)	40	26	9.44	+	2.75	1.17E-04	3.27E-03
transport of virus (GO:0046794)	61	34	14.40	+	2.36	1.18E-04	3.29E-03
regulation of blood pressure (GO:0008217)	188	19	44.38	-	.43	1.19E-04	3.31E-03
cellular response to topologically incorrect protein (GO:0035967)	152	65	35.88	+	1.81	1.19E-04	3.31E-03
response to unfolded protein (GO:0006986)	168	70	39.66	+	1.76	1.23E-04	3.42E-03
cellular response to oxygen levels (GO:0071453)	220	86	51.94	+	1.66	1.30E-04	3.60E-03
regulation of gene silencing by miRNA (GO:0060964)	94	46	22.19	+	2.07	1.31E-04	3.62E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	54	28.09	+	1.92	1.32E-04	3.66E-03
regulation of amine transport (GO:0051952)	92	5	21.72	-	.23	1.33E-04	3.67E-03
regulation of catecholamine secretion (GO:0050433)	56	1	13.22	-	.08	1.35E-04	3.71E-03
dorsal/ventral pattern formation (GO:0009953)	76	3	17.94	-	.17	1.35E-04	3.71E-03
multi-organism transport (GO:0044766)	63	35	14.87	+	2.35	1.40E-04	3.83E-03
multi-organism localization (GO:1902579)	63	35	14.87	+	2.35	1.40E-04	3.84E-03
nuclear membrane organization (GO:0071763)	73	38	17.23	+	2.20	1.46E-04	3.99E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	6	23.37	-	.26	1.49E-04	4.06E-03
anatomical structure development (GO:0048856)	5330	1131	1258.29	-	.90	1.49E-04	4.06E-03
system development (GO:0048731)	4330	904	1022.21	-	.88	1.52E-04	4.12E-03
tRNA aminoacylation for protein translation (GO:0006418)	46	28	10.86	+	2.58	1.56E-04	4.23E-03
negative regulation of chromosome organization (GO:2001251)	79	40	18.65	+	2.14	1.56E-04	4.23E-03
positive regulation of immune response (GO:0050778)	747	124	176.35	-	.70	1.57E-04	4.26E-03
antimicrobial humoral response (GO:0019730)	154	14	36.36	-	.39	1.58E-04	4.26E-03
second-messenger-mediated signaling (GO:0019932)	221	25	52.17	-	.48	1.64E-04	4.41E-03
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	5.19	+	3.47	1.64E-04	4.42E-03
detection of abiotic stimulus (GO:0009582)	139	12	32.81	-	.37	1.68E-04	4.52E-03
regulation of programmed cell death (GO:0043067)	1532	441	361.67	+	1.22	1.70E-04	4.57E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	51	26.20	+	1.95	1.76E-04	4.71E-03
interstrand cross-link repair (GO:0036297)	56	32	13.22	+	2.42	1.78E-04	4.76E-03
positive regulation of B cell activation (GO:0050871)	171	17	40.37	-	.42	1.79E-04	4.78E-03
cell aging (GO:0007569)	76	39	17.94	+	2.17	1.81E-04	4.81E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	39	17.94	+	2.17	1.81E-04	4.82E-03
DNA replication-independent nucleosome assembly (GO:0006336)	39	25	9.21	+	2.72	1.84E-04	4.86E-03
virion assembly (GO:0019068)	39	25	9.21	+	2.72	1.84E-04	4.87E-03
ER-nucleus signaling pathway (GO:0006984)	39	25	9.21	+	2.72	1.84E-04	4.88E-03
phagocytosis (GO:0006909)	329	44	77.67	-	.57	1.90E-04	5.01E-03
regulation of DNA-templated transcription, elongation (GO:0032784)	52	30	12.28	+	2.44	1.93E-04	5.09E-03
pre-replicative complex assembly (GO:0036388)	66	35	15.58	+	2.25	1.97E-04	5.19E-03
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	32	13.46	+	2.38	1.97E-04	5.20E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	65	36.83	+	1.76	2.00E-04	5.24E-03
cellular response to radiation (GO:0071478)	181	73	42.73	+	1.71	2.03E-04	5.32E-03
protein stabilization (GO:0050821)	198	78	46.74	+	1.67	2.04E-04	5.33E-03
protein insertion into membrane (GO:0051205)	72	37	17.00	+	2.18	2.14E-04	5.59E-03
sensory perception of light stimulus (GO:0050953)	220	25	51.94	-	.48	2.15E-04	5.61E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	52	27.15	+	1.92	2.21E-04	5.76E-03
cellular response to stimulus (GO:0051716)	6807	1473	1606.97	-	.92	2.21E-04	5.76E-03
regulation of protein modification process (GO:0031399)	1654	471	390.47	+	1.21	2.23E-04	5.77E-03
microtubule-based transport (GO:0099111)	192	76	45.33	+	1.68	2.22E-04	5.77E-03
sensory perception of bitter taste (GO:0050913)	41	0	9.68	-	 < 0.01	2.33E-04	6.04E-03
monocyte chemotaxis (GO:0002548)	42	0	9.92	-	 < 0.01	2.35E-04	6.06E-03
myeloid leukocyte migration (GO:0097529)	124	10	29.27	-	.34	2.38E-04	6.13E-03
gene silencing (GO:0016458)	153	64	36.12	+	1.77	2.41E-04	6.20E-03
cellular response to unfolded protein (GO:0034620)	131	57	30.93	+	1.84	2.47E-04	6.35E-03
negative regulation of catabolic process (GO:0009895)	317	113	74.84	+	1.51	2.49E-04	6.38E-03
maturation of SSU-rRNA (GO:0030490)	50	29	11.80	+	2.46	2.50E-04	6.40E-03
nucleosome assembly (GO:0006334)	117	52	27.62	+	1.88	2.51E-04	6.42E-03
peptidyl-lysine methylation (GO:0018022)	86	42	20.30	+	2.07	2.55E-04	6.51E-03
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	38	17.71	+	2.15	2.60E-04	6.63E-03
regulation of cell death (GO:0010941)	1668	474	393.78	+	1.20	2.62E-04	6.68E-03
endoplasmic reticulum unfolded protein response (GO:0030968)	105	48	24.79	+	1.94	2.67E-04	6.80E-03
nucleus organization (GO:0006997)	148	62	34.94	+	1.77	2.70E-04	6.86E-03
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	36	16.53	+	2.18	2.74E-04	6.93E-03
visual perception (GO:0007601)	217	25	51.23	-	.49	2.75E-04	6.95E-03
negative regulation of cellular catabolic process (GO:0031330)	257	95	60.67	+	1.57	2.80E-04	7.06E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	310	245.52	+	1.26	2.81E-04	7.08E-03
regulation of lymphocyte activation (GO:0051249)	536	84	126.54	-	.66	2.84E-04	7.14E-03
ncRNA export from nucleus (GO:0097064)	38	24	8.97	+	2.68	2.88E-04	7.23E-03
endocytosis (GO:0006897)	569	91	134.33	-	.68	2.98E-04	7.47E-03
maturation of LSU-rRNA (GO:0000470)	28	20	6.61	+	3.03	3.00E-04	7.51E-03
positive regulation of chromatin organization (GO:1905269)	121	53	28.57	+	1.86	3.06E-04	7.64E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	60	33.76	+	1.78	3.06E-04	7.64E-03
regulation of intracellular transport (GO:0032386)	364	126	85.93	+	1.47	3.07E-04	7.65E-03
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	36	16.76	+	2.15	3.12E-04	7.77E-03
cellular response to decreased oxygen levels (GO:0036294)	202	78	47.69	+	1.64	3.14E-04	7.80E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	49	25.50	+	1.92	3.14E-04	7.80E-03
protein localization to nucleus (GO:0034504)	168	68	39.66	+	1.71	3.16E-04	7.82E-03
regulation of apoptotic signaling pathway (GO:2001233)	354	123	83.57	+	1.47	3.20E-04	7.91E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	47	24.08	+	1.95	3.25E-04	8.02E-03
endoplasmic reticulum organization (GO:0007029)	102	47	24.08	+	1.95	3.25E-04	8.03E-03
negative regulation of protein metabolic process (GO:0051248)	1112	328	262.52	+	1.25	3.29E-04	8.08E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	33	14.64	+	2.25	3.29E-04	8.09E-03
transcription-coupled nucleotide-excision repair (GO:0006283)	73	37	17.23	+	2.15	3.43E-04	8.42E-03
DNA-templated transcription, elongation (GO:0006354)	79	39	18.65	+	2.09	3.54E-04	8.68E-03
serotonin receptor signaling pathway (GO:0007210)	39	0	9.21	-	 < 0.01	3.65E-04	8.94E-03
muscle system process (GO:0003012)	288	38	67.99	-	.56	3.70E-04	9.04E-03
multicellular organism development (GO:0007275)	4941	1050	1166.46	-	.90	3.81E-04	9.31E-03
ERAD pathway (GO:0036503)	92	43	21.72	+	1.98	3.86E-04	9.41E-03
regulation of transmembrane transport (GO:0034762)	591	96	139.52	-	.69	3.88E-04	9.43E-03
transport along microtubule (GO:0010970)	157	64	37.06	+	1.73	3.89E-04	9.44E-03
positive regulation of multicellular organismal process (GO:0051240)	1431	270	337.83	-	.80	3.90E-04	9.46E-03
membrane invagination (GO:0010324)	148	14	34.94	-	.40	3.93E-04	9.52E-03
regulation of mitochondrial gene expression (GO:0062125)	29	20	6.85	+	2.92	3.94E-04	9.53E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2595	706	612.62	+	1.15	4.04E-04	9.75E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	5	20.30	-	.25	4.05E-04	9.76E-03
regulation of apoptotic process (GO:0042981)	1493	426	352.46	+	1.21	4.08E-04	9.81E-03
defense response to Gram-negative bacterium (GO:0050829)	91	6	21.48	-	.28	4.22E-04	1.01E-02
mitochondrial transmembrane transport (GO:1990542)	107	48	25.26	+	1.90	4.30E-04	1.03E-02
ncRNA 3'-end processing (GO:0043628)	50	28	11.80	+	2.37	4.41E-04	1.06E-02
synapse assembly (GO:0007416)	99	7	23.37	-	.30	4.44E-04	1.06E-02
sodium ion transmembrane transport (GO:0035725)	119	10	28.09	-	.36	4.47E-04	1.07E-02
cellular developmental process (GO:0048869)	3634	756	857.90	-	.88	4.59E-04	1.09E-02
regulation of systemic arterial blood pressure (GO:0003073)	100	7	23.61	-	.30	4.60E-04	1.09E-02
positive regulation of proteolysis (GO:0045862)	376	128	88.76	+	1.44	4.63E-04	1.10E-02
regulation of cellular amino acid metabolic process (GO:0006521)	66	34	15.58	+	2.18	4.68E-04	1.11E-02
histone mRNA metabolic process (GO:0008334)	24	18	5.67	+	3.18	4.82E-04	1.14E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	18	5.67	+	3.18	4.82E-04	1.14E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	48	25.73	+	1.87	4.94E-04	1.17E-02
histone H3 acetylation (GO:0043966)	47	27	11.10	+	2.43	4.96E-04	1.17E-02
nuclear envelope organization (GO:0006998)	84	40	19.83	+	2.02	5.04E-04	1.18E-02
import into nucleus (GO:0051170)	117	51	27.62	+	1.85	5.03E-04	1.19E-02
regulation of histone modification (GO:0031056)	156	63	36.83	+	1.71	5.12E-04	1.20E-02
negative regulation of DNA metabolic process (GO:0051053)	140	58	33.05	+	1.75	5.16E-04	1.21E-02
postreplication repair (GO:0006301)	52	29	12.28	+	2.36	5.27E-04	1.23E-02
regulation of B cell activation (GO:0050864)	216	26	50.99	-	.51	5.27E-04	1.23E-02
spliceosomal snRNP assembly (GO:0000387)	39	24	9.21	+	2.61	5.37E-04	1.25E-02
regulation of cellular localization (GO:0060341)	841	254	198.54	+	1.28	5.40E-04	1.26E-02
cellular response to UV (GO:0034644)	91	42	21.48	+	1.96	5.41E-04	1.26E-02
cellular response to hypoxia (GO:0071456)	193	74	45.56	+	1.62	5.48E-04	1.27E-02
G2/M transition of mitotic cell cycle (GO:0000086)	141	58	33.29	+	1.74	5.47E-04	1.27E-02
granulocyte chemotaxis (GO:0071621)	82	5	19.36	-	.26	5.55E-04	1.29E-02
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	35	22	8.26	+	2.66	5.62E-04	1.30E-02
regulation of defense response (GO:0031347)	852	150	201.14	-	.75	5.65E-04	1.30E-02
DNA-templated transcription, initiation (GO:0006352)	195	75	46.03	+	1.63	5.74E-04	1.32E-02
cell cycle G2/M phase transition (GO:0044839)	143	59	33.76	+	1.75	5.80E-04	1.34E-02
detection of biotic stimulus (GO:0009595)	38	0	8.97	-	 < 0.01	5.87E-04	1.35E-02
regulation of mitochondrion organization (GO:0010821)	160	64	37.77	+	1.69	5.89E-04	1.35E-02
cellular response to amino acid starvation (GO:0034198)	80	38	18.89	+	2.01	6.05E-04	1.39E-02
positive regulation of apoptotic process (GO:0043065)	560	178	132.20	+	1.35	6.11E-04	1.40E-02
membrane organization (GO:0061024)	972	288	229.47	+	1.26	6.26E-04	1.43E-02
ribosomal large subunit assembly (GO:0000027)	28	19	6.61	+	2.87	6.31E-04	1.44E-02
base-excision repair (GO:0006284)	59	31	13.93	+	2.23	6.34E-04	1.45E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	43	22.19	+	1.94	6.35E-04	1.45E-02
positive regulation of cell cycle process (GO:0090068)	228	84	53.83	+	1.56	6.40E-04	1.46E-02
nuclear membrane reassembly (GO:0031468)	54	29	12.75	+	2.27	6.45E-04	1.46E-02
inner mitochondrial membrane organization (GO:0007007)	54	29	12.75	+	2.27	6.45E-04	1.47E-02
cellular response to starvation (GO:0009267)	190	73	44.85	+	1.63	6.51E-04	1.48E-02
regulation of hormone levels (GO:0010817)	538	87	127.01	-	.68	6.58E-04	1.49E-02
negative regulation of protein ubiquitination (GO:0031397)	82	39	19.36	+	2.01	6.62E-04	1.49E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	190	142.59	+	1.33	6.74E-04	1.51E-02
inorganic cation transmembrane transport (GO:0098662)	573	94	135.27	-	.69	6.74E-04	1.52E-02
vacuolar transport (GO:0007034)	155	62	36.59	+	1.69	6.73E-04	1.52E-02
regulation of DNA replication (GO:0006275)	108	47	25.50	+	1.84	6.79E-04	1.53E-02
response to oxygen levels (GO:0070482)	388	130	91.60	+	1.42	6.84E-04	1.53E-02
cellular response to ionizing radiation (GO:0071479)	71	35	16.76	+	2.09	6.98E-04	1.56E-02
response to amino acid starvation (GO:1990928)	83	39	19.59	+	1.99	7.06E-04	1.58E-02
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	33	21	7.79	+	2.70	7.15E-04	1.60E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	74	45.80	+	1.62	7.32E-04	1.63E-02
ribosomal small subunit assembly (GO:0000028)	19	15	4.49	+	3.34	7.37E-04	1.64E-02
viral translation (GO:0019081)	19	15	4.49	+	3.34	7.37E-04	1.64E-02
histone exchange (GO:0043486)	46	26	10.86	+	2.39	7.43E-04	1.65E-02
response to gamma radiation (GO:0010332)	55	29	12.98	+	2.23	7.43E-04	1.65E-02
catechol-containing compound metabolic process (GO:0009712)	48	1	11.33	-	.09	7.48E-04	1.65E-02
catecholamine metabolic process (GO:0006584)	48	1	11.33	-	.09	7.48E-04	1.66E-02
retrograde transport, endosome to Golgi (GO:0042147)	90	41	21.25	+	1.93	7.56E-04	1.67E-02
organophosphate metabolic process (GO:0019637)	894	267	211.05	+	1.27	7.60E-04	1.68E-02
multicellular organismal signaling (GO:0035637)	128	12	30.22	-	.40	7.65E-04	1.69E-02
cation transmembrane transport (GO:0098655)	641	108	151.33	-	.71	7.92E-04	1.74E-02
regulation of DNA recombination (GO:0000018)	127	53	29.98	+	1.77	7.95E-04	1.75E-02
regulation of heart contraction (GO:0008016)	230	29	54.30	-	.53	7.97E-04	1.75E-02
cell fate specification (GO:0001708)	81	5	19.12	-	.26	8.06E-04	1.76E-02
CENP-A containing chromatin organization (GO:0061641)	30	20	7.08	+	2.82	8.15E-04	1.78E-02
cytoplasmic translational initiation (GO:0002183)	30	20	7.08	+	2.82	8.15E-04	1.78E-02
CENP-A containing nucleosome assembly (GO:0034080)	30	20	7.08	+	2.82	8.15E-04	1.78E-02
regulation of cellular protein localization (GO:1903827)	561	177	132.44	+	1.34	8.63E-04	1.88E-02
translesion synthesis (GO:0019985)	42	24	9.92	+	2.42	8.65E-04	1.88E-02
activation of immune response (GO:0002253)	530	86	125.12	-	.69	8.75E-04	1.90E-02
regulation of cytokine production (GO:0001817)	748	130	176.59	-	.74	8.83E-04	1.91E-02
regulation of membrane potential (GO:0042391)	437	68	103.17	-	.66	8.88E-04	1.92E-02
phospholipid biosynthetic process (GO:0008654)	289	101	68.23	+	1.48	9.00E-04	1.94E-02
regulation of TOR signaling (GO:0032006)	100	44	23.61	+	1.86	8.99E-04	1.94E-02
response to radiation (GO:0009314)	452	147	106.71	+	1.38	8.98E-04	1.94E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	515	164	121.58	+	1.35	9.05E-04	1.95E-02
protein transmembrane transport (GO:0071806)	58	30	13.69	+	2.19	9.21E-04	1.98E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	8.50	-	 < 0.01	9.30E-04	1.99E-02
regulation of dopamine secretion (GO:0014059)	36	0	8.50	-	 < 0.01	9.30E-04	2.00E-02
DNA synthesis involved in DNA repair (GO:0000731)	53	28	12.51	+	2.24	9.54E-04	2.04E-02
cytosolic transport (GO:0016482)	148	59	34.94	+	1.69	9.63E-04	2.06E-02
metal ion homeostasis (GO:0055065)	626	106	147.78	-	.72	9.84E-04	2.10E-02
anion transport (GO:0006820)	460	73	108.60	-	.67	1.00E-03	2.14E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	27	18	6.37	+	2.82	1.01E-03	2.15E-02
cell fate commitment (GO:0045165)	238	31	56.19	-	.55	1.01E-03	2.15E-02
cleavage involved in rRNA processing (GO:0000469)	27	18	6.37	+	2.82	1.01E-03	2.15E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	68	42.02	+	1.62	1.06E-03	2.24E-02
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	24	46.74	-	.51	1.06E-03	2.24E-02
regulation of protein acetylation (GO:1901983)	77	36	18.18	+	1.98	1.09E-03	2.31E-02
regulation of telomere maintenance via telomerase (GO:0032210)	54	28	12.75	+	2.20	1.10E-03	2.32E-02
histone H4 acetylation (GO:0043967)	54	28	12.75	+	2.20	1.10E-03	2.32E-02
cytoskeleton organization (GO:0007010)	1212	348	286.12	+	1.22	1.11E-03	2.35E-02
immune response-activating signal transduction (GO:0002757)	455	72	107.41	-	.67	1.13E-03	2.38E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	72	107.41	-	.67	1.13E-03	2.38E-02
regulation of interferon-gamma production (GO:0032649)	113	10	26.68	-	.37	1.15E-03	2.41E-02
mononuclear cell migration (GO:0071674)	106	9	25.02	-	.36	1.18E-03	2.48E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	39	20.07	+	1.94	1.18E-03	2.48E-02
phenol-containing compound metabolic process (GO:0018958)	92	7	21.72	-	.32	1.20E-03	2.52E-02
animal organ development (GO:0048513)	3220	670	760.17	-	.88	1.21E-03	2.53E-02
alternative mRNA splicing, via spliceosome (GO:0000380)	22	16	5.19	+	3.08	1.24E-03	2.56E-02
mitotic nuclear membrane organization (GO:0101024)	51	27	12.04	+	2.24	1.25E-03	2.56E-02
mRNA cleavage (GO:0006379)	22	16	5.19	+	3.08	1.24E-03	2.56E-02
regulation of cell adhesion (GO:0030155)	731	128	172.57	-	.74	1.25E-03	2.56E-02
regulation of response to endoplasmic reticulum stress (GO:1905897)	86	39	20.30	+	1.92	1.25E-03	2.57E-02
positive regulation of telomere maintenance (GO:0032206)	51	27	12.04	+	2.24	1.25E-03	2.57E-02
monocarboxylic acid transport (GO:0015718)	100	8	23.61	-	.34	1.24E-03	2.57E-02
error-free translesion synthesis (GO:0070987)	22	16	5.19	+	3.08	1.24E-03	2.57E-02
regulation of mitochondrial translation (GO:0070129)	25	17	5.90	+	2.88	1.24E-03	2.57E-02
mitotic nuclear membrane reassembly (GO:0007084)	51	27	12.04	+	2.24	1.25E-03	2.57E-02
spindle assembly checkpoint signaling (GO:0071173)	25	17	5.90	+	2.88	1.24E-03	2.57E-02
mitotic spindle checkpoint signaling (GO:0071174)	25	17	5.90	+	2.88	1.24E-03	2.58E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	25	17	5.90	+	2.88	1.24E-03	2.58E-02
selective autophagy (GO:0061912)	62	31	14.64	+	2.12	1.28E-03	2.62E-02
protein sumoylation (GO:0016925)	62	31	14.64	+	2.12	1.28E-03	2.63E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	93	41	21.96	+	1.87	1.29E-03	2.64E-02
response to reactive oxygen species (GO:0000302)	186	70	43.91	+	1.59	1.32E-03	2.69E-02
protein targeting to mitochondrion (GO:0006626)	57	29	13.46	+	2.16	1.34E-03	2.73E-02
positive regulation of programmed cell death (GO:0043068)	575	179	135.74	+	1.32	1.36E-03	2.77E-02
chromatin remodeling at centromere (GO:0031055)	33	20	7.79	+	2.57	1.37E-03	2.78E-02
detection of light stimulus (GO:0009583)	63	3	14.87	-	.20	1.37E-03	2.78E-02
mRNA methylation (GO:0080009)	16	13	3.78	+	3.44	1.38E-03	2.80E-02
embryonic skeletal system development (GO:0048706)	123	12	29.04	-	.41	1.38E-03	2.80E-02
response to insulin (GO:0032868)	241	86	56.89	+	1.51	1.38E-03	2.80E-02
double-strand break repair via nonhomologous end joining (GO:0006303)	63	31	14.87	+	2.08	1.39E-03	2.81E-02
regulation of metal ion transport (GO:0010959)	262	36	61.85	-	.58	1.39E-03	2.81E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	52	27	12.28	+	2.20	1.41E-03	2.84E-02
protein localization to chromosome (GO:0034502)	69	33	16.29	+	2.03	1.41E-03	2.84E-02
protein autoubiquitination (GO:0051865)	69	33	16.29	+	2.03	1.41E-03	2.84E-02
centromere complex assembly (GO:0034508)	38	22	8.97	+	2.45	1.42E-03	2.85E-02
regulation of calcium ion transport (GO:0051924)	252	34	59.49	-	.57	1.42E-03	2.85E-02
cell death (GO:0008219)	1086	314	256.38	+	1.22	1.45E-03	2.90E-02
positive regulation of cell death (GO:0010942)	638	196	150.62	+	1.30	1.45E-03	2.90E-02
multivesicular body assembly (GO:0036258)	30	19	7.08	+	2.68	1.45E-03	2.90E-02
establishment of protein localization to mitochondrial membrane (GO:0090151)	30	19	7.08	+	2.68	1.45E-03	2.91E-02
regulation of organelle assembly (GO:1902115)	190	71	44.85	+	1.58	1.46E-03	2.92E-02
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	0	8.03	-	 < 0.01	1.48E-03	2.94E-02
vesicle budding from membrane (GO:0006900)	103	44	24.32	+	1.81	1.48E-03	2.94E-02
cellular metal ion homeostasis (GO:0006875)	561	94	132.44	-	.71	1.48E-03	2.95E-02
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	4	16.29	-	.25	1.49E-03	2.95E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	29	13.69	+	2.12	1.49E-03	2.96E-02
mRNA cleavage involved in mRNA processing (GO:0098787)	14	12	3.31	+	3.63	1.54E-03	3.04E-02
RNA 5'-end processing (GO:0000966)	23	16	5.43	+	2.95	1.55E-03	3.05E-02
hormone metabolic process (GO:0042445)	199	25	46.98	-	.53	1.55E-03	3.05E-02
stress granule assembly (GO:0034063)	23	16	5.43	+	2.95	1.55E-03	3.06E-02
antigen processing and presentation (GO:0019882)	225	81	53.12	+	1.52	1.59E-03	3.12E-02
mRNA modification (GO:0016556)	26	17	6.14	+	2.77	1.61E-03	3.16E-02
spindle checkpoint signaling (GO:0031577)	26	17	6.14	+	2.77	1.61E-03	3.17E-02
regulation of angiogenesis (GO:0045765)	282	40	66.57	-	.60	1.64E-03	3.22E-02
histone methylation (GO:0016571)	91	40	21.48	+	1.86	1.65E-03	3.23E-02
neutrophil chemotaxis (GO:0030593)	77	5	18.18	-	.28	1.66E-03	3.24E-02
actin-mediated cell contraction (GO:0070252)	89	7	21.01	-	.33	1.67E-03	3.26E-02
negative regulation of mitotic nuclear division (GO:0045839)	35	21	8.26	+	2.54	1.69E-03	3.29E-02
centrosome duplication (GO:0051298)	35	21	8.26	+	2.54	1.69E-03	3.29E-02
regulation of cell-cell adhesion (GO:0022407)	439	70	103.64	-	.68	1.69E-03	3.30E-02
cellular response to nutrient levels (GO:0031669)	240	85	56.66	+	1.50	1.72E-03	3.34E-02
antigen processing and presentation of exogenous antigen (GO:0019884)	186	69	43.91	+	1.57	1.74E-03	3.37E-02
multivesicular body organization (GO:0036257)	31	19	7.32	+	2.60	1.74E-03	3.37E-02
mRNA splice site selection (GO:0006376)	31	19	7.32	+	2.60	1.74E-03	3.37E-02
protein import (GO:0017038)	158	61	37.30	+	1.64	1.77E-03	3.42E-02
phototransduction (GO:0007602)	44	1	10.39	-	.10	1.77E-03	3.42E-02
positive regulation of protein ubiquitination (GO:0031398)	123	50	29.04	+	1.72	1.78E-03	3.42E-02
chromatin organization involved in regulation of transcription (GO:0034401)	92	40	21.72	+	1.84	1.77E-03	3.43E-02
negative regulation of gene expression, epigenetic (GO:0045814)	79	36	18.65	+	1.93	1.78E-03	3.43E-02
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	100	43	23.61	+	1.82	1.80E-03	3.46E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	30	14.40	+	2.08	1.83E-03	3.51E-02
axonogenesis (GO:0007409)	385	60	90.89	-	.66	1.88E-03	3.61E-02
modulation of chemical synaptic transmission (GO:0050804)	431	69	101.75	-	.68	1.89E-03	3.61E-02
cellular response to extracellular stimulus (GO:0031668)	269	93	63.50	+	1.46	1.90E-03	3.63E-02
regulation of cation channel activity (GO:2001257)	186	23	43.91	-	.52	1.92E-03	3.66E-02
cellular amino acid metabolic process (GO:0006520)	283	97	66.81	+	1.45	1.94E-03	3.71E-02
digestion (GO:0007586)	114	11	26.91	-	.41	1.97E-03	3.75E-02
ncRNA 5'-end processing (GO:0034471)	21	15	4.96	+	3.03	1.99E-03	3.78E-02
mRNA cis splicing, via spliceosome (GO:0045292)	21	15	4.96	+	3.03	1.99E-03	3.78E-02
posttranscriptional gene silencing (GO:0016441)	62	30	14.64	+	2.05	1.99E-03	3.79E-02
antigen processing and presentation of peptide antigen (GO:0048002)	193	71	45.56	+	1.56	2.05E-03	3.88E-02
intracellular protein transmembrane transport (GO:0065002)	51	26	12.04	+	2.16	2.07E-03	3.92E-02
interleukin-1-mediated signaling pathway (GO:0070498)	96	41	22.66	+	1.81	2.13E-03	4.04E-02
tRNA transport (GO:0051031)	37	21	8.73	+	2.40	2.16E-03	4.07E-02
protein insertion into ER membrane (GO:0045048)	37	21	8.73	+	2.40	2.16E-03	4.08E-02
establishment of chromosome localization (GO:0051303)	75	34	17.71	+	1.92	2.17E-03	4.08E-02
post-transcriptional gene silencing by RNA (GO:0035194)	57	28	13.46	+	2.08	2.17E-03	4.08E-02
positive regulation of DNA repair (GO:0045739)	75	34	17.71	+	1.92	2.17E-03	4.09E-02
small molecule metabolic process (GO:0044281)	1622	449	382.92	+	1.17	2.19E-03	4.11E-02
positive regulation of cell-cell adhesion (GO:0022409)	283	41	66.81	-	.61	2.19E-03	4.12E-02
response to hydrogen peroxide (GO:0042542)	121	49	28.57	+	1.72	2.24E-03	4.20E-02
modulation of process of other organism involved in symbiotic interaction (GO:0051817)	121	49	28.57	+	1.72	2.24E-03	4.20E-02
